Filename,MPI_Procs,OMP_Threads,Time(s)
data/data_10M_p512.bin,1,1,16.1736
data/data_10M_p512.bin,1,4,16.1331
data/data_10M_p512.bin,1,16,17.2824
data/data_10M_p512.bin,1,32,16.1759
data/data_10M_p512.bin,1,64,16.0976
data/data_10M_p512.bin,1,128,16.1721
data/data_10M_p512.bin,2,1,12.1553
data/data_10M_p512.bin,2,4,11.4871
data/data_10M_p512.bin,2,16,11.4906
data/data_10M_p512.bin,2,32,11.43
data/data_10M_p512.bin,2,64,11.5741
data/data_10M_p512.bin,2,128,11.4494
data/data_10M_p512.bin,4,1,8.72488
data/data_10M_p512.bin,4,4,9.11796
data/data_10M_p512.bin,4,16,9.09665
data/data_10M_p512.bin,4,32,9.21552
data/data_10M_p512.bin,4,64,9.12955
data/data_10M_p512.bin,4,128,9.11501
data/data_10M_p512.bin,8,1,5.14513
data/data_10M_p512.bin,8,4,5.13232
data/data_10M_p512.bin,8,16,5.08748
data/data_10M_p512.bin,8,32,5.0371
data/data_10M_p512.bin,8,64,5.07665
data/data_10M_p512.bin,8,128,5.03742
